id,address,city,CDOM,bds,bths,size,date,purchase_price,list_price,sale_price,zipcode,year_built,latitude,longitude
132181,33510 39th Ave SW,Federal Way,77,4,2,2440,2024-11-08 00:00:00,417000,524000,524000,98023,2006,47.301865,-122.38166
133029,912 N Junett St,Tacoma,53,3,1.75,1500,2024-12-15 00:00:00,304000,583000,537000,98406,1919,47.258453,-122.47523
162715,23106 58th Ave W,Mountlake Terrace,5,3,1,980,2024-01-21 00:00:00,234000,508000,508000,98043,1951,47.788956,-122.31155
184329,1620 Riverview Dr NE,Auburn,164,4,2.5,2460,2024-03-03 00:00:00,424000,624000,629000,98002,1978,47.321224,-122.20436
190012,16433 NE 106th Place,Redmond,5,4,2.5,1680,2022-04-05 00:00:00,608000,1058000,1058000,98052,1977,47.694855,-122.11973
186665,15180 172nd Ave SE,Monroe,163,5,2.5,1905,2022-05-02 00:00:00,405000,574000,558000,98272,1999,47.85975,-122.00038
218528,511 28th Ave,Seattle,26,4,3,2540,2023-07-12 00:00:00,456000,1014000,1014000,98122,1924,47.606598,-122.29611
230923,9813 62nd Ave S,Seattle,18,5,2.5,2500,2023-07-22 00:00:00,562000,900000,895000,98118,2007,47.512913,-122.25613
193352,25404 30th Ave S,Kent,84,3,1,940,2024-06-17 00:00:00,178000,381000,381000,98032,1959,47.373398,-122.29517
244876,1803 112th Ave SE,Lake Stevens,5,3,2.5,1518,2022-08-09 00:00:00,380000,524000,524000,98258,2001,47.979885,-122.07959
247011,6751 3rd Ave NW,Seattle,4,4,3.75,2200,2022-07-11 00:00:00,572000,1281000,1281000,98117,1912,47.679165,-122.3608
224675,3411 Cheasty Blvd S,Seattle,65,4,1.75,2150,2023-09-14 00:00:00,540000,900000,775000,98144,1965,47.57265,-122.29961
233903,9203 21st Ave SW,Seattle,71,3,1.75,1048,2024-09-16 00:00:00,248000,507000,461000,98106,1941,47.520885,-122.36083
237926,12724 SE 302nd St,Auburn,67,4,2.5,2440,2024-08-23 00:00:00,472000,752000,689000,98092,2000,47.331814,-122.17139
234453,3809 170th St SW,Lynnwood,5,3,2.25,1618,2023-08-14 00:00:00,433000,607000,607000,98037,1973,47.844856,-122.28482
259771,9429 38th Ave S,Seattle,18,4,2.75,2500,2023-08-09 00:00:00,260000,625000,625000,98118,1957,47.517357,-122.28519
265520,517 29th Ave,Seattle,34,4,2.75,2143,2022-10-31 00:00:00,487000,1246000,1184000,98122,2003,47.60673,-122.29522
259362,709 N 88th St,Seattle,45,2,1,830,2024-10-26 00:00:00,416000,772000,713000,98103,1941,47.692577,-122.34948
228248,8314 16th Ave NW,Seattle,152,3,1.75,2120,2024-11-29 00:00:00,739000,1080000,984000,98117,1951,47.68923,-122.37756
289740,10814 66th Ave S,Seattle,13,3,1.75,2120,2023-12-20 00:00:00,288000,648000,648000,98178,1955,47.50333,-122.2499
287832,6704 23rd Ave SW,Seattle,23,4,2.5,1950,2023-12-09 00:00:00,317000,660000,682000,98106,1994,47.54268,-122.362274
233532,2306 124th St SE,Everett,75,4,1.5,1513,2023-11-04 00:00:00,336000,540000,486000,98208,1963,47.88532,-122.201614
296490,8408 200th St SW,Edmonds,4,3,1.5,1344,2023-12-28 00:00:00,303000,588000,588000,98026,1955,47.817547,-122.34701
291826,9204 15th St SE,Lake Stevens,28,3,2.5,2236,2022-12-30 00:00:00,266000,484000,484000,98258,1992,47.982956,-122.10754
291792,15705 Goldbar Dr,Gold Bar,6,4,2.5,1817,2022-12-29 00:00:00,121000,387000,402000,98251,2006,47.855965,-121.68288
